================== Tensiones IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Magnitud de longitud: m 

Número de elementos: 1294 

Sigma_lin = N_lin/A  

------------------------- 
 Tensiones (kN/m^2)              
------------------------- 
| Elem |    Sigma_lin   | 
|  192 |    3.03e+004   |
|  193 |    9.12e+003   |
|  194 |   -9.27e+004   |
|  195 |   -1.63e+004   |
|  196 |   -5.76e+003   |
|  197 |    2.41e+004   |
|  198 |    9.30e+003   |
|  199 |   -8.65e+004   |
|  200 |   -1.63e+004   |
|  201 |   -5.72e+003   |
|  202 |    1.79e+004   |
|  203 |    7.86e+003   |
|  204 |   -8.03e+004   |
|  205 |   -1.66e+004   |
|  206 |   -6.02e+003   |
|  207 |    1.17e+004   |
|  208 |    2.01e+004   |
|  209 |   -7.50e+004   |
|  210 |   -1.41e+004   |
|  211 |   -3.55e+003   |
|  212 |    3.14e+004   |
|  213 |    1.45e+003   |
|  214 |   -5.60e+004   |
|  215 |   -3.63e+004   |
|  216 |    3.48e+004   |
|  217 |   -7.72e+003   |
|  218 |    3.89e+003   |
|  219 |   -1.35e+004   |
|  220 |   -3.96e+004   |
|  221 |    3.16e+004   |
|  222 |   -4.89e+004   |
|  223 |   -2.77e+003   |
|  224 |    2.85e+004   |
|  225 |   -4.04e+004   |
|  226 |    3.08e+004   |
|  227 |   -8.16e+004   |
|  228 |   -2.02e+003   |
|  229 |    6.23e+004   |
|  230 |   -2.75e+004   |
|  231 |    1.54e+004   |
|  232 |   -9.85e+004   |
|  233 |   -2.75e+003   |
|  234 |    7.91e+004   |
|  235 |   -1.33e+004   |
|  236 |    1.27e+003   |
|  237 |   -9.94e+004   |
|  238 |    3.71e+003   |
|  239 |    7.90e+004   |
|  240 |    1.98e+003   |
|  241 |   -1.17e+004   |
|  242 |   -9.21e+004   |
|  243 |    3.06e+003   |
|  244 |    7.07e+004   |
|  245 |    3.18e+003   |
|  246 |   -1.05e+004   |
|  247 |   -8.40e+004   |
|  248 |    3.14e+003   |
|  249 |    6.27e+004   |
|  250 |    3.05e+003   |
|  251 |   -1.06e+004   |
|  252 |   -7.60e+004   |
|  253 |    3.13e+003   |
|  254 |    5.47e+004   |
|  255 |    3.07e+003   |
|  256 |   -1.06e+004   |
|  257 |   -6.80e+004   |
|  258 |    3.13e+003   |
|  259 |    4.67e+004   |
|  260 |    3.06e+003   |
|  261 |   -1.06e+004   |
|  262 |   -6.00e+004   |
|  263 |    3.13e+003   |
|  264 |    3.86e+004   |
|  265 |    3.06e+003   |
|  266 |   -1.06e+004   |
|  267 |   -5.20e+004   |
|  268 |    3.12e+003   |
|  269 |    3.06e+004   |
|  270 |    3.06e+003   |
|  271 |   -1.06e+004   |
|  272 |   -4.40e+004   |
|  273 |    3.17e+003   |
|  274 |    2.26e+004   |
|  275 |    3.07e+003   |
|  276 |   -1.06e+004   |
|  277 |   -3.60e+004   |
