================== Deformación Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Número de elementos: 1294 


Deformación con análisis lineal: 

---------------------------------- 
| Elemento |     Deformación     | 
|      183 |       4.57e-005     | 
|      184 |      -5.25e-004     | 
|      185 |      -8.16e-005     | 
|      186 |      -2.88e-005     | 
|      187 |       1.82e-004     | 
|      188 |       4.57e-005     | 
|      189 |      -4.95e-004     | 
|      190 |      -8.16e-005     | 
|      191 |      -2.88e-005     | 
|      192 |       1.51e-004     | 
|      193 |       4.56e-005     | 
|      194 |      -4.64e-004     | 
|      195 |      -8.16e-005     | 
|      196 |      -2.88e-005     | 
|      197 |       1.21e-004     | 
|      198 |       4.65e-005     | 
|      199 |      -4.33e-004     | 
|      200 |      -8.14e-005     | 
|      201 |      -2.86e-005     | 
|      202 |       8.95e-005     | 
|      203 |       3.93e-005     | 
|      204 |      -4.01e-004     | 
|      205 |      -8.29e-005     | 
|      206 |      -3.01e-005     | 
|      207 |       5.84e-005     | 
|      208 |       1.01e-004     | 
|      209 |      -3.75e-004     | 
|      210 |      -7.06e-005     | 
|      211 |      -1.78e-005     | 
|      212 |       1.57e-004     | 
|      213 |       7.26e-006     | 
|      214 |      -2.80e-004     | 
|      215 |      -1.82e-004     | 
|      216 |       1.74e-004     | 
|      217 |      -3.86e-005     | 
|      218 |       1.95e-005     | 
|      219 |      -6.76e-005     | 
|      220 |      -1.98e-004     | 
|      221 |       1.58e-004     | 
|      222 |      -2.45e-004     | 
|      223 |      -1.39e-005     | 
|      224 |       1.43e-004     | 
|      225 |      -2.02e-004     | 
|      226 |       1.54e-004     | 
|      227 |      -4.08e-004     | 
|      228 |      -1.01e-005     | 
|      229 |       3.11e-004     | 
|      230 |      -1.37e-004     | 
|      231 |       7.70e-005     | 
|      232 |      -4.92e-004     | 
|      233 |      -1.38e-005     | 
|      234 |       3.96e-004     | 
|      235 |      -6.67e-005     | 
|      236 |       6.36e-006     | 
|      237 |      -4.97e-004     | 
|      238 |       1.86e-005     | 
|      239 |       3.95e-004     | 
|      240 |       9.92e-006     | 
|      241 |      -5.85e-005     | 
|      242 |      -4.60e-004     | 
|      243 |       1.53e-005     | 
|      244 |       3.53e-004     | 
|      245 |       1.59e-005     | 
|      246 |      -5.25e-005     | 
|      247 |      -4.20e-004     | 
|      248 |       1.57e-005     | 
|      249 |       3.13e-004     | 
|      250 |       1.52e-005     | 
|      251 |      -5.31e-005     | 
|      252 |      -3.80e-004     | 
|      253 |       1.56e-005     | 
|      254 |       2.73e-004     | 
|      255 |       1.53e-005     | 
|      256 |      -5.31e-005     | 
