================== Desplazamiento Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de longitud: m 

Número de nodos: 289 

-------------------------------------------------------- 
                   Desplazamientos (m)                 
-------------------------------------------------------- 
| Nodo |       u_x     |       u_y     |       u_z     |
|   88 |    1.07e+000  |   -7.23e-005  |   -1.21e+000  |
|   89 |    1.17e+000  |   -5.18e-005  |   -1.32e+000  |
|   90 |    1.07e+000  |    2.50e-005  |   -1.32e+000  |
|   91 |    1.17e+000  |   -1.38e-004  |   -1.42e+000  |
|   92 |    1.07e+000  |    9.71e-005  |   -1.42e+000  |
|   93 |    1.17e+000  |   -1.88e-004  |   -1.52e+000  |
|   94 |    1.07e+000  |    1.52e-004  |   -1.52e+000  |
|   95 |    1.17e+000  |   -2.07e-004  |   -1.62e+000  |
|   96 |    1.07e+000  |    1.67e-004  |   -1.62e+000  |
|   97 |    1.17e+000  |   -1.92e-004  |   -1.72e+000  |
|   98 |    1.07e+000  |    1.63e-004  |   -1.72e+000  |
|   99 |    1.17e+000  |   -1.76e-004  |   -1.82e+000  |
|  100 |    1.07e+000  |    1.44e-004  |   -1.82e+000  |
|  101 |    1.17e+000  |   -1.59e-004  |   -1.91e+000  |
|  102 |    1.07e+000  |    1.28e-004  |   -1.91e+000  |
|  103 |    1.17e+000  |   -1.43e-004  |   -2.01e+000  |
|  104 |    1.07e+000  |    1.11e-004  |   -2.01e+000  |
|  105 |    1.17e+000  |   -1.26e-004  |   -2.10e+000  |
|  106 |    1.08e+000  |    9.48e-005  |   -2.10e+000  |
|  107 |    1.17e+000  |   -1.09e-004  |   -2.19e+000  |
|  108 |    1.08e+000  |    7.82e-005  |   -2.19e+000  |
|  109 |    1.17e+000  |   -9.29e-005  |   -2.28e+000  |
|  110 |    1.08e+000  |    6.16e-005  |   -2.28e+000  |
|  111 |    1.17e+000  |   -7.60e-005  |   -2.37e+000  |
|  112 |    1.08e+000  |    4.51e-005  |   -2.37e+000  |
|  113 |    1.17e+000  |   -6.23e-005  |   -2.46e+000  |
|  114 |    1.08e+000  |    2.79e-005  |   -2.46e+000  |
|  115 |    1.16e+000  |   -2.09e-005  |   -2.55e+000  |
|  116 |    1.08e+000  |    1.42e-005  |   -2.55e+000  |
|  117 |    1.18e+000  |   -9.11e-006  |    1.04e+000  |
|  118 |    1.18e+000  |   -7.22e-005  |    9.37e-001  |
|  119 |    1.08e+000  |    6.10e-005  |    9.37e-001  |
|  120 |    1.08e+000  |    3.42e-006  |    1.04e+000  |
|  121 |    1.18e+000  |   -2.16e-004  |    8.34e-001  |
|  122 |    1.08e+000  |    1.34e-004  |    8.34e-001  |
|  123 |    1.18e+000  |   -2.99e-004  |    7.33e-001  |
|  124 |    1.08e+000  |    2.36e-004  |    7.33e-001  |
|  125 |    1.18e+000  |   -3.91e-004  |    6.34e-001  |
|  126 |    1.08e+000  |    3.04e-004  |    6.34e-001  |
|  127 |    1.17e+000  |   -4.17e-004  |    5.39e-001  |
|  128 |    1.08e+000  |    3.37e-004  |    5.39e-001  |
|  129 |    1.17e+000  |   -3.82e-004  |    4.48e-001  |
|  130 |    1.08e+000  |    2.95e-004  |    4.48e-001  |
|  131 |    1.17e+000  |   -2.82e-004  |    3.61e-001  |
|  132 |    1.08e+000  |    2.18e-004  |    3.61e-001  |
|  133 |    1.17e+000  |   -1.84e-004  |    2.77e-001  |
|  134 |    1.08e+000  |    1.11e-004  |    2.77e-001  |
|  135 |    1.17e+000  |   -7.62e-005  |    1.93e-001  |
|  136 |    1.08e+000  |    1.66e-005  |    1.93e-001  |
|  137 |    1.17e+000  |   -1.24e-005  |    1.11e-001  |
|  138 |    1.08e+000  |   -1.32e-004  |    1.11e-001  |
|  139 |    1.63e+000  |   -1.62e-004  |   -6.50e-002  |
|  140 |    1.63e+000  |    5.79e-005  |    3.08e-002  |
|  141 |    1.72e+000  |   -1.18e-004  |   -6.57e-002  |
|  142 |    1.72e+000  |    1.96e-005  |    3.09e-002  |
|  143 |    1.82e+000  |   -1.77e-004  |   -6.64e-002  |
|  144 |    1.82e+000  |   -2.52e-005  |    3.08e-002  |
|  145 |    1.92e+000  |    9.89e-012  |   -1.89e-002  |
|  146 |    0.00e+000  |    0.00e+000  |    0.00e+000  |
|  147 |    0.00e+000  |    0.00e+000  |    0.00e+000  |
|  148 |    1.62e-003  |    4.57e-004  |   -2.07e-003  |
|  149 |    1.44e-003  |   -2.79e-004  |    9.85e-004  |
|  150 |    6.29e-003  |    4.14e-004  |   -4.27e-003  |
