================== Fuerza Axial IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Número de elementos: 1294 


Fuerza Axial con análisis Lineal: 

---------------------------------- 
| Elemento |  Fuerza Axial (kN)  | 
|      182 |        2.13e+002    | 
|      183 |        4.57e+001    | 
|      184 |       -5.25e+002    | 
|      185 |       -8.16e+001    | 
|      186 |       -2.88e+001    | 
|      187 |        1.82e+002    | 
|      188 |        4.57e+001    | 
|      189 |       -4.95e+002    | 
|      190 |       -8.16e+001    | 
|      191 |       -2.88e+001    | 
|      192 |        1.51e+002    | 
|      193 |        4.56e+001    | 
|      194 |       -4.64e+002    | 
|      195 |       -8.16e+001    | 
|      196 |       -2.88e+001    | 
|      197 |        1.21e+002    | 
|      198 |        4.65e+001    | 
|      199 |       -4.33e+002    | 
|      200 |       -8.14e+001    | 
|      201 |       -2.86e+001    | 
|      202 |        8.95e+001    | 
|      203 |        3.93e+001    | 
|      204 |       -4.01e+002    | 
|      205 |       -8.29e+001    | 
|      206 |       -3.01e+001    | 
|      207 |        5.84e+001    | 
|      208 |        1.01e+002    | 
|      209 |       -3.75e+002    | 
|      210 |       -7.06e+001    | 
|      211 |       -1.78e+001    | 
|      212 |        1.57e+002    | 
|      213 |        7.26e+000    | 
|      214 |       -2.80e+002    | 
|      215 |       -1.82e+002    | 
|      216 |        1.74e+002    | 
|      217 |       -3.86e+001    | 
|      218 |        1.95e+001    | 
|      219 |       -6.76e+001    | 
|      220 |       -1.98e+002    | 
|      221 |        1.58e+002    | 
|      222 |       -2.45e+002    | 
|      223 |       -1.39e+001    | 
|      224 |        1.43e+002    | 
|      225 |       -2.02e+002    | 
|      226 |        1.54e+002    | 
|      227 |       -4.08e+002    | 
|      228 |       -1.01e+001    | 
|      229 |        3.11e+002    | 
|      230 |       -1.37e+002    | 
|      231 |        7.70e+001    | 
|      232 |       -4.92e+002    | 
|      233 |       -1.38e+001    | 
|      234 |        3.96e+002    | 
|      235 |       -6.67e+001    | 
|      236 |        6.36e+000    | 
|      237 |       -4.97e+002    | 
|      238 |        1.86e+001    | 
|      239 |        3.95e+002    | 
|      240 |        9.92e+000    | 
|      241 |       -5.85e+001    | 
|      242 |       -4.60e+002    | 
|      243 |        1.53e+001    | 
|      244 |        3.53e+002    | 
|      245 |        1.59e+001    | 
|      246 |       -5.25e+001    | 
|      247 |       -4.20e+002    | 
|      248 |        1.57e+001    | 
|      249 |        3.13e+002    | 
|      250 |        1.52e+001    | 
|      251 |       -5.31e+001    | 
|      252 |       -3.80e+002    | 
|      253 |        1.56e+001    | 
|      254 |        2.73e+002    | 
|      255 |        1.53e+001    | 
|      256 |       -5.31e+001    | 
|      257 |       -3.40e+002    | 
|      258 |        1.56e+001    | 
|      259 |        2.33e+002    | 
|      260 |        1.53e+001    | 
|      261 |       -5.31e+001    | 
|      262 |       -3.00e+002    | 
|      263 |        1.56e+001    | 
|      264 |        1.93e+002    | 
|      265 |        1.53e+001    | 
|      266 |       -5.31e+001    | 
|      267 |       -2.60e+002    | 
|      268 |        1.56e+001    | 
|      269 |        1.53e+002    | 
|      270 |        1.53e+001    | 
|      271 |       -5.31e+001    | 
|      272 |       -2.20e+002    | 
|      273 |        1.58e+001    | 
|      274 |        1.13e+002    | 
|      275 |        1.54e+001    | 
|      276 |       -5.30e+001    | 
|      277 |       -1.80e+002    | 
|      278 |        1.42e+001    | 
|      279 |        7.32e+001    | 
|      280 |        1.50e+001    | 
|      281 |       -5.34e+001    | 
|      282 |       -1.38e+002    | 
|      283 |        2.57e+001    | 
|      284 |        3.20e+001    | 
|      285 |        1.76e+001    | 
|      286 |       -5.08e+001    | 
|      287 |       -9.39e+001    | 
|      288 |        9.01e+001    | 
|      289 |        2.41e+001    | 
|      290 |       -3.00e+001    | 
|      291 |        4.77e+001    | 
|      292 |       -4.29e+002    | 
|      293 |        2.84e+001    | 
|      294 |        1.83e+002    | 
|      295 |       -2.23e+002    | 
|      296 |        1.59e+002    | 
|      297 |       -6.52e+002    | 
|      298 |        4.16e+001    | 
|      299 |        4.11e+002    | 
|      300 |       -2.34e+002    | 
|      301 |        1.48e+002    | 
|      302 |       -8.70e+002    | 
|      303 |       -2.03e+001    | 
|      304 |        6.38e+002    | 
|      305 |       -2.44e+002    | 
|      306 |        1.39e+002    | 
|      307 |       -1.01e+003    | 
|      308 |       -1.33e+001    | 
|      309 |        7.87e+002    | 
|      310 |       -1.22e+002    | 
|      311 |       -6.23e+000    | 
|      312 |       -9.99e+002    | 
|      313 |       -2.02e+001    | 
|      314 |        7.76e+002    | 
|      315 |        1.18e+001    | 
|      316 |       -1.40e+002    | 
|      317 |       -8.38e+002    | 
|      318 |        4.09e+001    | 
|      319 |        6.06e+002    | 
|      320 |        1.56e+002    | 
|      321 |       -2.62e+002    | 
|      322 |       -5.99e+002    | 
|      323 |        3.39e+001    | 
|      324 |        3.58e+002    | 
|      325 |        1.67e+002    | 
|      326 |       -2.51e+002    | 
|      327 |       -3.54e+002    | 
|      328 |        4.16e+001    | 
|      329 |        1.13e+002    | 
|      330 |        1.68e+002    | 
|      331 |       -2.51e+002    | 
|      332 |       -1.07e+002    | 
|      333 |       -1.56e+001    | 
|      334 |       -1.31e+002    | 
|      335 |        1.56e+002    | 
|      336 |       -2.62e+002    | 
|      337 |        1.06e+002    | 
|      338 |       -3.98e+002    | 
|      339 |        2.56e+002    | 
|      340 |       -1.62e+002    | 
|      341 |        1.50e+001    | 
|      342 |       -4.87e+002    | 
|      343 |        5.22e+001    | 
|      344 |        1.31e+002    | 
|      345 |        1.26e+001    | 
|      346 |       -1.38e+002    | 
|      347 |       -3.97e+002    | 
|      348 |        4.94e+001    | 
|      349 |        4.31e+001    | 
|      350 |        1.22e+001    | 
|      351 |       -1.39e+002    | 
|      352 |       -3.24e+002    | 
|      353 |        1.01e+002    | 
|      354 |       -5.03e+001    | 
|      355 |        1.93e+001    | 
|      356 |       -1.31e+002    | 
|      357 |        9.63e+001    | 
|      358 |        3.56e+002    | 
|      359 |        3.76e+002    | 
|      360 |        1.67e+002    | 
|      361 |        0.00e+000    | 
|      362 |        0.00e+000    | 
|      363 |        0.00e+000    | 
|      364 |       -1.04e+003    | 
|      365 |        4.57e+002    | 
|      366 |        4.93e+002    | 
|      367 |       -2.79e+002    | 
|      368 |        8.92e+001    | 
|      369 |        1.77e+002    | 
|      370 |        1.77e+002    | 
|      371 |       -1.14e+002    | 
|      372 |       -1.14e+002    | 
|      373 |       -4.04e+002    | 
|      374 |       -4.04e+002    | 
|      375 |        8.92e+001    | 
|      376 |        8.92e+001    | 
|      377 |       -1.10e+003    | 
|      378 |        4.14e+002    | 
|      379 |        5.18e+002    | 
|      380 |       -2.45e+002    | 
|      381 |        8.43e+001    | 
|      382 |        1.28e+002    | 
|      383 |        1.28e+002    | 
|      384 |       -1.01e+002    | 
|      385 |       -1.01e+002    | 
|      386 |       -3.31e+002    | 
|      387 |       -3.31e+002    | 
|      388 |        8.43e+001    | 
|      389 |        8.43e+001    | 
|      390 |       -1.09e+003    | 
|      391 |        4.18e+002    | 
|      392 |        5.14e+002    | 
|      393 |       -2.49e+002    | 
|      394 |        8.46e+001    | 
|      395 |        1.34e+002    | 
|      396 |        1.34e+002    | 
|      397 |       -1.02e+002    | 
|      398 |       -1.02e+002    | 
|      399 |       -3.38e+002    | 
|      400 |       -3.38e+002    | 
|      401 |        8.46e+001    | 
|      402 |        8.46e+001    | 
|      403 |       -1.09e+003    | 
|      404 |        4.17e+002    | 
|      405 |        5.15e+002    | 
|      406 |       -2.48e+002    | 
|      407 |        8.46e+001    | 
|      408 |        1.33e+002    | 
|      409 |        1.33e+002    | 
|      410 |       -1.02e+002    | 
|      411 |       -1.02e+002    | 
|      412 |       -3.37e+002    | 
|      413 |       -3.37e+002    | 
|      414 |        8.46e+001    | 
|      415 |        8.46e+001    | 
|      416 |       -1.09e+003    | 
|      417 |        4.17e+002    | 
|      418 |        5.15e+002    | 
|      419 |       -2.48e+002    | 
|      420 |        8.46e+001    | 
|      421 |        1.33e+002    | 
|      422 |        1.33e+002    | 
|      423 |       -1.02e+002    | 
|      424 |       -1.02e+002    | 
|      425 |       -3.37e+002    | 
|      426 |       -3.37e+002    | 
|      427 |        8.46e+001    | 
|      428 |        8.46e+001    | 
|      429 |       -1.09e+003    | 
|      430 |        4.17e+002    | 
|      431 |        5.15e+002    | 
|      432 |       -2.48e+002    | 
|      433 |        8.46e+001    | 
|      434 |        1.33e+002    | 
|      435 |        1.33e+002    | 
|      436 |       -1.02e+002    | 
|      437 |       -1.02e+002    | 
|      438 |       -3.37e+002    | 
|      439 |       -3.37e+002    | 
|      440 |        8.46e+001    | 
|      441 |        8.46e+001    | 
|      442 |       -1.09e+003    | 
|      443 |        4.17e+002    | 
